nohup: ignoring input
/home/ubuntu/anaconda3/lib/python3.6/site-packages/sklearn/cross_validation.py:41: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)
[9.059906005859375e-06] Load Train
[37.17598557472229] Load Test
[49.68568563461304] Load Features
[233.03950190544128] Load Entropy Features
[233.65505743026733] Load up the kanber features
[237.92798948287964] Finished Loading Features, start concatenate
(62080001, 7)
(20870003, 7)
[273.20792841911316] Concat Train/Test
(62080001, 45)
(20870003, 45)
Index(['ip', 'app', 'device', 'os', 'channel', 'click_time', 'is_attributed',
       'click_sec_lead_app', 'click_sec_lag_app', 'X0', 'X1', 'X2', 'X3', 'X4',
       'X5', 'X6', 'X7', 'X8', 'nextClick', 'nextClick_shift', 'ip_tcount',
       'ip_tchan_count', 'ip_app_count', 'ip_app_os_count', 'ip_app_os_var',
       'ip_app_channel_var_day', 'ip_app_channel_mean_hour',
       'click_sec_lead_split_sec', 'click_sec_lead_split_sec_ip_only',
       'cumsum10', 'cumsum50', 'click_sec_lead', 'click_sec_lag',
       'click_sec_lead', 'click_sec_lag', 'click_sec_lead_shift2',
       'same_next_app', 'same_prev_app', 'same_next_chl', 'same_prev_chl',
       'qty', 'prevday_qty', 'prevhour_qty', 'count_in_next_hr',
       'count_in_next_ten_mins'],
      dtype='object')
Index(['ip', 'app', 'device', 'os', 'channel', 'click_time', 'is_attributed',
       'click_sec_lead_app', 'click_sec_lag_app', 'X0', 'X1', 'X2', 'X3', 'X4',
       'X5', 'X6', 'X7', 'X8', 'nextClick', 'nextClick_shift', 'ip_tcount',
       'ip_tchan_count', 'ip_app_count', 'ip_app_os_count', 'ip_app_os_var',
       'ip_app_channel_var_day', 'ip_app_channel_mean_hour',
       'click_sec_lead_split_sec', 'click_sec_lead_split_sec_ip_only',
       'cumsum10', 'cumsum50', 'click_sec_lead', 'click_sec_lag',
       'click_sec_lead', 'click_sec_lag', 'click_sec_lead_shift2',
       'same_next_app', 'same_prev_app', 'same_next_chl', 'same_prev_chl',
       'qty', 'prevday_qty', 'prevhour_qty', 'count_in_next_hr',
       'count_in_next_ten_mins'],
      dtype='object')
[301.6135494709015] Time prep
[365.7350387573242] Add entropy
[412.51505970954895] Split data
Device 3032 shape : 0
[436.97796607017517] Get common train and test
Get common to train and test : app
Length remaining for app : 535
Get common to train and test : channel
Length remaining for channel : 186
Get common to train and test : os
Length remaining for os : 522
Get common to train and test : hour
Length remaining for hour : 24
Get common to train and test : device
Length remaining for device : 2222
[555.0851881504059] Data split complete
train size:  62080001
valid size:  0
test size :  20870003
**************************************************
['cumsum10', 'click_sec_lead_split_sec_ip_only', 'device', 'ip_click_min_entropy', 'ip_os_entropy', 'X2', 'channel', 'app', 'count_in_next_hr', 'click_sec_lead_app', 'X6', 'prevhour_qty', 'count_in_next_ten_mins', 'ip', 'cumsum50', 'ip_click_hr_entropy', 'nextClick', 'X1', 'X4', 'X3', 'qty', 'click_sec_lead_shift2', 'ip_device_entropy', 'ip_channel_entropy', 'ip_app_entropy', 'X8', 'X7', 'X5', 'X0', 'hour', 'os', 'click_sec_lead_split_sec', 'click_sec_lag_app', 'prevday_qty', 'nextClick_shift']
**************************************************
['app', 'device', 'os', 'channel', 'hour']
**************************************************
[555.0975720882416] Drop features complete
train size:  62080001
valid size:  20870003
test size :  20870003
[555.0976474285126] Training...
preparing validation datasets
/home/ubuntu/anaconda3/lib/python3.6/site-packages/lightgbm/basic.py:1036: UserWarning: Using categorical_feature in Dataset.
  warnings.warn('Using categorical_feature in Dataset.')
/home/ubuntu/anaconda3/lib/python3.6/site-packages/lightgbm/basic.py:681: UserWarning: categorical_feature in param dict is overrided.
  warnings.warn('categorical_feature in param dict is overrided.')
Training until validation scores don't improve for 100 rounds.
[10]	train's auc: 0.969362	valid's auc: 0.960889
[750]	train's auc: 0.988301	valid's auc: 0.983037
[760]	train's auc: 0.988317	valid's auc: 0.983037
[770]	train's auc: 0.988335	valid's auc: 0.983045
[780]	train's auc: 0.988357	valid's auc: 0.983051
[790]	train's auc: 0.988374	valid's auc: 0.983073
[800]	train's auc: 0.988397	valid's auc: 0.983075
[810]	train's auc: 0.988419	valid's auc: 0.983091
[820]	train's auc: 0.988447	valid's auc: 0.983112
[830]	train's auc: 0.988468	valid's auc: 0.983102
[840]	train's auc: 0.988482	valid's auc: 0.983112
[850]	train's auc: 0.988507	valid's auc: 0.983118
[860]	train's auc: 0.988527	valid's auc: 0.983113
[870]	train's auc: 0.988546	valid's auc: 0.983119
[880]	train's auc: 0.988568	valid's auc: 0.983113
[890]	train's auc: 0.988586	valid's auc: 0.983106
[900]	train's auc: 0.988606	valid's auc: 0.983109
[910]	train's auc: 0.988628	valid's auc: 0.983115
[920]	train's auc: 0.988646	valid's auc: 0.983104
[930]	train's auc: 0.988665	valid's auc: 0.983113
[940]	train's auc: 0.988686	valid's auc: 0.983118
[950]	train's auc: 0.988707	valid's auc: 0.983121
[960]	train's auc: 0.988727	valid's auc: 0.983126
[970]	train's auc: 0.988744	valid's auc: 0.983115
[980]	train's auc: 0.988764	valid's auc: 0.983111
[990]	train's auc: 0.988782	valid's auc: 0.983118
[1000]	train's auc: 0.9888	valid's auc: 0.983107
[1010]	train's auc: 0.988818	valid's auc: 0.983105
[1020]	train's auc: 0.988839	valid's auc: 0.983109
[1030]	train's auc: 0.988853	valid's auc: 0.983113
[1040]	train's auc: 0.988868	valid's auc: 0.983121
[1050]	train's auc: 0.988885	valid's auc: 0.983126
[1060]	train's auc: 0.988905	valid's auc: 0.983132
[1070]	train's auc: 0.98892	valid's auc: 0.983131
[1080]	train's auc: 0.988945	valid's auc: 0.983147
[1090]	train's auc: 0.988961	valid's auc: 0.983135
[1100]	train's auc: 0.988981	valid's auc: 0.983143
[1110]	train's auc: 0.988995	valid's auc: 0.983161
[1120]	train's auc: 0.989007	valid's auc: 0.983155
[1130]	train's auc: 0.989025	valid's auc: 0.983157
[1140]	train's auc: 0.989039	valid's auc: 0.983154
[1150]	train's auc: 0.989055	valid's auc: 0.98316
[1160]	train's auc: 0.989073	valid's auc: 0.983079
[1170]	train's auc: 0.989088	valid's auc: 0.983079
[1180]	train's auc: 0.989101	valid's auc: 0.983077
[1190]	train's auc: 0.989112	valid's auc: 0.983073
[1200]	train's auc: 0.98913	valid's auc: 0.983078
[1210]	train's auc: 0.989146	valid's auc: 0.983082
[1220]	train's auc: 0.98916	valid's auc: 0.983074
[1230]	train's auc: 0.989175	valid's auc: 0.98307
[1240]	train's auc: 0.989184	valid's auc: 0.983074
[1250]	train's auc: 0.989198	valid's auc: 0.98306
Early stopping, best iteration is:
[1151]	train's auc: 0.989055	valid's auc: 0.983164

Model Report
n_estimators :  1151
auc: 0.9831636575402569
                                feat   imp
0                            channel  1564
1                                 os  1081
2                                app  1039
3                               hour   769
4           click_sec_lead_split_sec   272
5                                 X8   143
6                      ip_os_entropy   133
7                                 X4   132
8                  ip_device_entropy   127
9                          nextClick   126
10                ip_channel_entropy   102
11               ip_click_hr_entropy    95
12                               qty    94
13                                X0    93
14                    ip_app_entropy    86
15                                X5    83
16                 click_sec_lag_app    80
17  click_sec_lead_split_sec_ip_only    78
18                                X3    77
19                                X1    73
20                            device    72
21                click_sec_lead_app    68
22                                ip    66
23             click_sec_lead_shift2    62
24            count_in_next_ten_mins    61
25                                X6    59
26                  count_in_next_hr    55
27              ip_click_min_entropy    36
28                      prevhour_qty    33
29                       prevday_qty    32
30                          cumsum50    27
31                          cumsum10    26
32                                X7    25
33                   nextClick_shift    21
34                                X2    16
Auc for all hours in testval : 0.9831636575402569
Auc for select hours in testval : 0.9667742378443394
writing...
